emoji,sentiment_score,positive,neutral,negative,description
☀,0.46692111959287536,0.49363867684478374,0.4796437659033079,0.026717557251908396,BLACK SUN WITH RAYS
😡,-0.17328042328042326,0.35978835978835977,0.10714285714285714,0.533068783068783,POUTING FACE
😎,0.493368700265252,0.5981432360742706,0.29708222811671087,0.10477453580901856,SMILING FACE WITH SUNGLASSES
😢,0.006675567423230999,0.39118825100133514,0.22429906542056074,0.38451268357810414,CRYING FACE
💋,0.6934604904632152,0.7316076294277929,0.23024523160762944,0.03814713896457766,KISS MARK
😋,0.6335149863760219,0.6784741144414169,0.276566757493188,0.04495912806539509,FACE SAVOURING DELICIOUS FOOD
🙊,0.4606896551724138,0.5944827586206897,0.2717241379310345,0.13379310344827586,SPEAK-NO-EVIL MONKEY
😴,-0.0807799442896936,0.3412256267409471,0.23676880222841226,0.4220055710306407,SLEEPING FACE
🎶,0.5392296718972895,0.6348074179743224,0.26961483594864477,0.09557774607703282,MULTIPLE MUSICAL NOTES
💞,0.7423580786026202,0.7816593886462883,0.17903930131004367,0.039301310043668124,REVOLVING HEARTS
😌,0.48421052631578954,0.6240601503759399,0.23609022556390977,0.13984962406015036,RELIEVED FACE
🔥,0.13978494623655913,0.2626728110599078,0.6144393241167435,0.1228878648233487,FIRE
💯,0.1208791208791209,0.40188383045525905,0.31711145996860285,0.28100470957613816,HUNDRED POINTS SYMBOL
🔫,-0.19536423841059603,0.2980132450331126,0.20860927152317882,0.49337748344370863,PISTOL
💛,0.712624584717608,0.7541528239202658,0.20431893687707642,0.04152823920265781,YELLOW HEART
💁,0.3278688524590164,0.5191256830601093,0.2896174863387978,0.1912568306010929,INFORMATION DESK PERSON
💚,0.659217877094972,0.7355679702048417,0.18808193668528864,0.07635009310986965,GREEN HEART
♫,0.2889305816135085,0.350844277673546,0.5872420262664165,0.06191369606003752,BEAMED EIGHTH NOTES
😞,-0.11842105263157898,0.3609022556390977,0.15977443609022557,0.4793233082706767,DISAPPOINTED FACE
😆,0.4117647058823529,0.5654648956356736,0.2808349146110057,0.15370018975332067,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
😝,0.42540322580645157,0.5564516129032258,0.3125,0.1310483870967742,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
😪,-0.08091286307053946,0.3506224066390041,0.21784232365145229,0.4315352697095436,SLEEPY FACE
�,0.08686440677966101,0.2521186440677966,0.5826271186440678,0.1652542372881356,REPLACEMENT CHARACTER
😫,-0.145610278372591,0.3404710920770878,0.1734475374732334,0.4860813704496788,TIRED FACE
😅,0.17965367965367968,0.47186147186147187,0.23593073593073594,0.2922077922077922,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
👊,0.22925764192139736,0.49344978165938863,0.2423580786026201,0.26419213973799127,FISTED HAND SIGN
💀,-0.20833333333333337,0.26096491228070173,0.26973684210526316,0.4692982456140351,SKULL
😀,0.571753986332574,0.6560364464692483,0.25968109339407747,0.08428246013667426,GRINNING FACE
😚,0.714622641509434,0.7617924528301887,0.19103773584905662,0.04716981132075472,KISSING FACE WITH CLOSED EYES
😻,0.6235011990407674,0.6906474820143885,0.2422062350119904,0.0671462829736211,SMILING CAT FACE WITH HEART-SHAPED EYES
©,0.11778846153846154,0.24759615384615385,0.6225961538461539,0.12980769230769232,COPYRIGHT SIGN
👀,0.06341463414634144,0.29024390243902437,0.48292682926829267,0.22682926829268293,EYES
💘,0.6886075949367089,0.7341772151898734,0.22025316455696203,0.04556962025316456,HEART WITH ARROW
🐓,0.02864583333333333,0.13541666666666666,0.7578125,0.10677083333333333,ROOSTER
☕,0.24607329842931935,0.38481675392670156,0.47643979057591623,0.1387434554973822,HOT BEVERAGE
👋,0.41623036649214656,0.5732984293193717,0.2696335078534031,0.15706806282722513,WAVING HAND SIGN
✋,0.12698412698412698,0.455026455026455,0.21693121693121692,0.328042328042328,RAISED HAND
🎊,0.7272727272727273,0.7823691460055097,0.162534435261708,0.05509641873278237,CONFETTI BALL
🍕,0.42045454545454547,0.4744318181818182,0.4715909090909091,0.05397727272727273,SLICE OF PIZZA
❄,0.5100286532951289,0.6074498567335244,0.29512893982808025,0.09742120343839542,SNOWFLAKE
😥,0.12316715542521994,0.4398826979472141,0.2434017595307918,0.31671554252199413,DISAPPOINTED BUT RELIEVED FACE
😕,-0.39999999999999997,0.20294117647058824,0.19411764705882353,0.6029411764705882,CONFUSED FACE
💥,0.14893617021276595,0.2188449848024316,0.7112462006079028,0.06990881458966565,COLLISION SYMBOL
💔,-0.12195121951219512,0.2926829268292683,0.2926829268292683,0.4146341463414634,BROKEN HEART
😤,-0.21100917431192662,0.2691131498470948,0.25076452599388377,0.4801223241590214,FACE WITH LOOK OF TRIUMPH
😈,0.2676923076923077,0.4707692307692308,0.3261538461538461,0.20307692307692307,SMILING FACE WITH HORNS
►,0.16307692307692306,0.28615384615384615,0.5907692307692308,0.12307692307692308,BLACK RIGHT-POINTING POINTER
✈,0.4192546583850931,0.45962732919254656,0.5,0.040372670807453416,AIRPLANE
🔝,0.4785478547854785,0.5643564356435643,0.34983498349834985,0.0858085808580858,TOP WITH UPWARDS ARROW ABOVE
😰,-0.019867549668874163,0.41721854304635764,0.1456953642384106,0.4370860927152318,FACE WITH OPEN MOUTH AND COLD SWEAT
⚽,0.6220735785953178,0.6722408026755853,0.27759197324414714,0.05016722408026756,SOCCER BALL
😑,-0.31438127090301005,0.20066889632107024,0.2842809364548495,0.5150501672240803,EXPRESSIONLESS FACE
👑,0.7013422818791946,0.7416107382550335,0.2181208053691275,0.040268456375838924,CROWN
😹,0.14237288135593218,0.4406779661016949,0.26101694915254237,0.2983050847457627,CAT FACE WITH TEARS OF JOY
👉,0.3938356164383562,0.4623287671232877,0.4691780821917808,0.0684931506849315,WHITE RIGHT POINTING BACKHAND INDEX
🍃,0.38144329896907214,0.48109965635738833,0.41924398625429554,0.09965635738831616,LEAF FLUTTERING IN WIND
🎁,0.7673611111111112,0.8055555555555556,0.15625,0.03819444444444445,WRAPPED PRESENT
😠,-0.3020833333333333,0.2638888888888889,0.1701388888888889,0.5659722222222222,ANGRY FACE
🐧,0.4612676056338028,0.5,0.4612676056338028,0.03873239436619718,PENGUIN
☆,0.4326241134751773,0.46099290780141844,0.5106382978723404,0.028368794326241134,WHITE STAR
🍀,0.2877697841726619,0.30935251798561153,0.6690647482014388,0.02158273381294964,FOUR LEAF CLOVER
🎈,0.7256317689530686,0.740072202166065,0.24548736462093862,0.01444043321299639,BALLOON
🎅,0.32116788321167883,0.3467153284671533,0.6277372262773723,0.025547445255474453,FATHER CHRISTMAS
😓,-0.08058608058608058,0.3516483516483517,0.21611721611721613,0.43223443223443225,FACE WITH COLD SWEAT
😣,-0.2140221402214022,0.3284132841328413,0.12915129151291513,0.5424354243542435,PERSEVERING FACE
😐,-0.3925925925925926,0.16296296296296298,0.2814814814814815,0.5555555555555556,NEUTRAL FACE
✊,0.43333333333333335,0.5703703703703704,0.29259259259259257,0.13703703703703704,RAISED FIST
😨,-0.1412639405204461,0.2936802973977695,0.27137546468401486,0.4349442379182156,FEARFUL FACE
😖,-0.15671641791044777,0.3283582089552239,0.1865671641791045,0.48507462686567165,CONFOUNDED FACE
💤,0.37453183520599254,0.5168539325842697,0.3408239700374532,0.14232209737827714,SLEEPING SYMBOL
💓,0.6718146718146718,0.7297297297297297,0.21235521235521235,0.05791505791505792,BEATING HEART
👎,-0.18992248062015504,0.3062015503875969,0.19767441860465115,0.49612403100775193,THUMBS DOWN SIGN
💦,0.4761904761904762,0.6150793650793651,0.24603174603174602,0.1388888888888889,SPLASHING SWEAT SYMBOL
✔,0.27309236947791166,0.39759036144578314,0.4779116465863454,0.12449799196787148,HEAVY CHECK MARK
😷,-0.17073170731707316,0.3048780487804878,0.21951219512195122,0.47560975609756095,FACE WITH MEDICAL MASK
⚡,0.17886178861788618,0.21951219512195122,0.7398373983739838,0.04065040650406504,HIGH VOLTAGE SIGN
🙋,0.4915254237288136,0.6186440677966102,0.2542372881355932,0.1271186440677966,HAPPY PERSON RAISING ONE HAND
🎄,0.5381355932203389,0.6016949152542372,0.3347457627118644,0.0635593220338983,CHRISTMAS TREE
💩,-0.11790393013100436,0.2925764192139738,0.29694323144104806,0.4104803493449782,PILE OF POO
🎵,0.5067264573991032,0.6098654708520179,0.28699551569506726,0.1031390134529148,MUSICAL NOTE
➡,0.14864864864864866,0.15765765765765766,0.8333333333333334,0.009009009009009009,BLACK RIGHTWARDS ARROW
😛,0.6090909090909091,0.6909090909090909,0.22727272727272727,0.08181818181818182,FACE WITH STUCK-OUT TONGUE
😬,0.19626168224299068,0.46261682242990654,0.27102803738317754,0.26635514018691586,GRIMACING FACE
👯,0.44549763033175355,0.5592417061611374,0.32701421800947866,0.11374407582938388,WOMAN WITH BUNNY EARS
💎,0.569377990430622,0.6220095693779905,0.3253588516746411,0.05263157894736842,GEM STONE
🌿,0.3894230769230769,0.3942307692307692,0.6009615384615384,0.004807692307692308,HERB
🎂,0.6218905472636816,0.7014925373134329,0.21890547263681592,0.07960199004975124,BIRTHDAY CAKE
🌟,0.3316582914572864,0.3869346733668342,0.5577889447236181,0.05527638190954774,GLOWING STAR
🔮,0.27135678391959794,0.3015075376884422,0.6683417085427136,0.03015075376884422,CRYSTAL BALL
❗,0.101010101010101,0.25757575757575757,0.5858585858585859,0.15656565656565657,HEAVY EXCLAMATION MARK SYMBOL
👫,0.25888324873096447,0.47715736040609136,0.30456852791878175,0.2182741116751269,MAN AND WOMAN HOLDING HANDS
🏆,0.7371134020618557,0.7680412371134021,0.20103092783505155,0.030927835051546393,TROPHY
✖,0.3160621761658031,0.35751295336787564,0.6010362694300518,0.04145077720207254,HEAVY MULTIPLICATION X
☝,0.31413612565445026,0.45549738219895286,0.4031413612565445,0.14136125654450263,WHITE UP POINTING INDEX
😙,0.7905759162303665,0.806282722513089,0.17801047120418848,0.015706806282722512,KISSING FACE WITH SMILING EYES
⛄,0.5287958115183247,0.6020942408376964,0.32460732984293195,0.07329842931937172,SNOWMAN WITHOUT SNOW
👅,0.4684210526315789,0.5894736842105263,0.2894736842105263,0.12105263157894737,TONGUE
♪,0.5421052631578948,0.6210526315789474,0.3,0.07894736842105263,EIGHTH NOTE
🍂,0.5555555555555556,0.5873015873015873,0.38095238095238093,0.031746031746031744,FALLEN LEAF
💏,0.3945945945945946,0.572972972972973,0.24864864864864866,0.1783783783783784,KISS
🔪,0.07103825136612019,0.2786885245901639,0.5136612021857924,0.20765027322404372,HOCHO
🌴,0.5337078651685394,0.6067415730337079,0.3202247191011236,0.07303370786516854,PALM TREE
👈,0.43103448275862066,0.5114942528735632,0.40804597701149425,0.08045977011494253,WHITE LEFT POINTING BACKHAND INDEX
🌹,0.6104651162790697,0.627906976744186,0.3546511627906977,0.01744186046511628,ROSE
🙆,0.5087719298245614,0.5964912280701754,0.3157894736842105,0.08771929824561403,FACE WITH OK GESTURE
➜,0.16470588235294117,0.21176470588235294,0.7411764705882353,0.047058823529411764,HEAVY ROUND-TIPPED RIGHTWARDS ARROW
👻,0.23214285714285718,0.39880952380952384,0.43452380952380953,0.16666666666666666,GHOST
💰,0.25595238095238093,0.4107142857142857,0.43452380952380953,0.15476190476190477,MONEY BAG
🍻,0.5212121212121212,0.6242424242424243,0.2727272727272727,0.10303030303030303,CLINKING BEER MUGS
🙅,-0.2060606060606061,0.2545454545454545,0.28484848484848485,0.46060606060606063,FACE WITH NO GOOD GESTURE
🌞,0.5679012345679013,0.5864197530864198,0.3950617283950617,0.018518518518518517,SUN WITH FACE
🍁,0.4906832298136646,0.5217391304347826,0.4472049689440994,0.031055900621118012,MAPLE LEAF
⭐,0.5911949685534591,0.6226415094339622,0.34591194968553457,0.031446540880503145,WHITE MEDIUM STAR
▪,0.2012578616352201,0.29559748427672955,0.610062893081761,0.09433962264150944,BLACK SMALL SQUARE
🎀,0.6410256410256411,0.6794871794871795,0.28205128205128205,0.038461538461538464,RIBBON
━,0.17948717948717946,0.2692307692307692,0.6410256410256411,0.08974358974358974,BOX DRAWINGS HEAVY HORIZONTAL
